Dingus Terrortrousers|10:55:56, 11/11/09|<Sagensyg> Napoleon vs Europe was like Google vs Ask Jeeves
Roogle|10:55:56,10/11/09|<Roogle> rubah do you think I'm a Bastion of Chastity
rubah|12:24:03, 10/11/09|<Sagensyg> But I am a girl ?.?
Roogle|12:33:15, 10/11/09|<Juggs> http://img.photobucket.com/albums/v27/Lachrymose/SavvyandMe1.jpg <boel> who is that riding you
dank|13:41:11, 10/11/09|<Sagensyg> How you even going to say you gonna get on this ball, and you haven't even helped me pump it yet, it's the principality of it
rubah|13:50:43, 10/11/09|<Tyler Garrison> you can't just be woot. That doesnt make sense...you could "woot" AT something, but you can't just BE woot. that's just gay. your gay. eff your woot and the lolerskates you rode in on
rubah|14:06:32, 10/11/09|<Sagensyg> Statutory rape is serious stuff <Sochie> You can do it with ease, just get on your knees.
Arc|15:01:22, 10/11/09|<Sagensyg> God damn I suck ass you guys
Dingus Terrortrousers|17:30:47, 10/11/09|<Baron Von Ghoulish> I wondered why mirc was flashing at me like a dirty old man in the park with the crotch cut out of his pants so when he opens his trench coat his dick is just hanging there like two wallnuts in a sock
Baron Von Ghoulish|10:41:11, 11/11/09|<Baron Von Ghoulish> Don't you ever let me hear you say last night instead of this morning which was last night for you again.
Baron Von Ghoulish|08:20:50,13/11/09|<Baron Von Ghoulish> reading twitter trending topics is like driving through the digital ghetto of the internet.
Dingus Terrortrousers|10:17:16,16/11/09|* stu listens to Stu - Song Written to Seduce Lawrence (Sexually) [17:23]
skottie|10:50:17,16/11/09|<skottie> ?disappear <Meredy> EDICT E2JK[disappear][: 消失 shochocolate frosting n,vs しょうしつ | 消失 sochocolate frosting n,vs そうしつ :]
Dingus Terrortrousers|04:25:20,16/11/09|<Dingus Terrortrousers> Vodka is awful you crazy man <Yar> i love that shiz <Yar> its so amazing <Yar> reminds me of hair spray
Dingus Terrortrousers|04:30:25,16/11/09|<Lissa> necrophilia isn't illegal if he wanted it before he died rite??
Dingus Terrortrousers|04:46:02,16/11/09|<Arc> I sent nudes <Arc> to two gusy <Arc> I wanna fuck guys atm
Dingus Terrortrousers|04:13:52,17/11/09|* Arc pre-cum dance flaccid walk
Hermione Granger|02:49:42,19/11/09|<۬Sagensyg> I love doing the gym teacher/coach
Erwin Brödinger|03:24:43,20/11/09|<stu> melissa, you have to understand <stu> I am like a dog <stu> I'm loyal to my bone
Erwin Brödinger|03:25:10,20/11/09|<stu> I can be respectful and friendly and like a gentleman but if I pitch a tent I am tearing off clothes and licking all kinds of clit
Sagensyg|10:47:59,21/11/09|<Sagensyg> EVERYONE WANTS TO WORK WITH JAMIL AND TASTE HIS JIZZ DONUTS~~~~
stu|12:26:16,24/11/09|<stu> lawrence has never been able to the obituaries haha since shes the one whop transports the bodie
o_O|02:17:25,30/11/09|<Clouffie> i think you should write about shotguns that don't shoot bullets <Clouffie> they shoot LOVE <Baron Von Ghoulish> my dick is a love shotgun
Clouffie|06:02:33,30/11/09|<Clouffie> also i think you are pretty much retarded <Clouffie> and your girlfriend sounds retarded <Clouffie> and your mom sounds retarded <Clouffie> basically it seems like you've cultivated a retard colony
Baron Von Ghoulish|09:08:53,30/11/09|<Utamaru> Baron Von Ghoulish: I suggest you seek professional help, as you don't seem to realize that *you* are God
o_O|09:47:36,30/11/09|<Baron Von Ghoulish> I like my women like I like my coffee <Baron Von Ghoulish> COVERED IN BEEEEEEEEEEEEEEEEEEEEEEEES
Bart Powercheeks|03:48:11,07/12/09|<Lissa> i like to stick my finger in my cats mouth while shes yawning
Sagensyg|12:36:15,08/12/09|<tavintosh> allie does your cat ever nibble your ears <tavintosh> my roommate's cats do that t ome <tavintosh> and it's kinda creepty <tavintosh> and i'm like cat i didn't know we knew each other that well
Sagensyg|12:44:04,08/12/09|<o_O> It's time for a grog fest <o_O> who wants a grog?
stu|01:04:11,11/12/09|<Rantzien> Tina Moberg is in a relationship and it's complicated. <Roland Powershower> Moberg. <Roland Powershower> That's like an iceberg made of moustaches.
rubah|01:07:36,11/12/09|<Sagensyg>8,0,%0,8%`7,8,8,7`4,7,7,4`0,4, Has anyone really been far even as decided to use even go want to do look more like?8,4 7,4`4,7,8,7`7,8,0,8`%8,0%,1,0
rubah|01:11:52,11/12/09|<Sagensyg> My cousin plays an autistic guitar.
Roland Powershower|03:02:51,11/12/09|<RiceFlats> I am going to have to say now, outright, before I am sober, that I love blink-182; I think they were very iconic of my high school years and I feel even now they strike a chord with me!
Lissa|03:25:07,11/12/09|<Kari> curves are the new anorexia
Roland Powershower|10:16:32,14/12/09|<Baron Von Ghoulish> My neighbors complained about my Nativity Set. Sorry if zombies and Chucky in a manger offends you.
o_O|05:17:28,14/12/09|<Lissa> im was thing fellpool <Lissa> omg <Lissa> wth did i type
o_O|12:17:10,15/12/09|<Baron Von Ghoulish> yes! <Baron Von Ghoulish> had a bag of frozen fires left
Curtis Beeflobster|06:12:18,15/12/09|<stu> saying my eye balls really fast <stu> sounds like saying myyyyyy balls
Curtis Beeflobster|04:19:18,17/12/09|<decomposeur> scott you fizzy bitch flap
Runce Kestrel|01:32:21,18/12/09|<Xvose> Also, i DO have a magical power to just DO things, like stop crying randomly and stop doing drugs randomly
o_O|12:23:23,21/12/09|<stu> and now, for my next impression, jesse owens! * stu runs
Sagensyg|04:36:31,21/12/09|<Kefkai> Prostitues are cheap and you'll be needing one
Trent Brickchopper|04:50:38,07/01/10|<copy cat> it hurts to sit down :(
rubahX_x|02:09:44,18/01/10|<Distortion Pedal> oh god <Distortion Pedal> I like that
Sadia|03:49:53,18/01/10|<Roogle> I never thought that rap would help our family <Sadia> It usually has a reverse effect
Sagensyg|04:28:05,18/01/10|<Shiny> shiny use some of dat MP
Sagensyg|04:28:14,18/01/10|<Shiny> finna get me some more oreäs
Sagensyg|01:26:58,19/01/10|<Grant Professional> Babies have high elasticity. <Grant Professional> Meaning many can be squashed into a space smaller than a baby if a little weight/force is applied.
rubah|09:32:30,25/01/10|<tavaryn> i am the b.
rubah|09:32:31,25/01/10|<Noah> Luckily I am already aware that I'm a gumshoe
rubah|09:32:31,25/01/10|<Adjutant Black> <rubah> damn you mike >:[
rubah|11:22:59,25/01/10|<Roogle> Sara readies Resuscitate. <Roogle> (1d100) 1. <Roogle> Lawrence has made a full recovery <Sagensyg> Oh yeah I needed some lip action
Ghetto Ass Person|04:05:44,28/01/10|<Baron Von Ghoulish> If the iPad has a touch screen, can it sense when my load hits it and close the video I was using?
Godfrey Mansleeve|10:20:31,04/02/10|<Roogle> DON'T TASTE ME BRO
rubah|11:55:34,08/02/10|<rubah> guys, lola is eating my hw <Trent Brickchopper> allie, let her eat it <rubah> it's my hw :( <Trent Brickchopper> then take it into your professor And ask for assignment questions that repel cats more.
rubah|05:53:52,09/02/10|<tavaryn> i walked back from the shower to my bedroom naked once <tavaryn> and one of the cats just stared at me <tavaryn> i'm just liek "wtf what do you want, you're naked all the time"
