Sugarlips`|10:55:56, 11/11/09|<Jenbien> I must use my face now to hold up my body
Sugarlips`|14:28:54,23/09/13|<@Rantzien> For the uninitiated, the rule being discussed is the one where you have to stick your hands into a teammate's pants and fondle their junk within 10 seconds after scoring, or the goal is void
Sugarlips`|14:28:54,23/09/13|<KentaRawr> I'm such an incestual player, Jiro.
Sugarlips`|14:28:54,23/09/13|<@mike> ah wuz jus heveen sum dots <@mike> wen da po-leece nockd on mai doh <@mike> sed we hev tu aveckuwate <@mike> and i jus tripped, i was like "PHWOH SHIT"
Sugarlips`|14:28:54,23/09/13|<Tigmafuzz> I would like to be turned into alcohol and drank by a supervillain with a vodka waizard sidekick
Sugarlips`|14:28:54,23/09/13|<Jon> my mom totally lost it <Jon> she came into my room and said, "come." <Jon> and when i asked why <Jon> she said, "we're going on a journey" <Jon> and then she led me to the bathroom <Jon> and told me to be her eyes  <Jon> while she cleaned the tub
Sugarlips`|14:28:54,23/09/13|<Tavaryn> i don't have a heart condition :( <Ice Nuggets> you will ;D
Sugarlips`|14:28:54,23/09/13|<Sephex> Triangle anus.
Sugarlips`|14:28:54,23/09/13|<Thecloudyday89> give me the name of the gay porn in youtube
Sugarlips`|14:28:54,23/09/13|<Shorty> I just hate to shove you up in my tiny little bedroom sized hole for like, six days.
Sugarlips`|14:28:54,23/09/13|<Rantzien> I need you in my room, Jiro.
Sugarlips`|14:28:54,23/09/13|<Iceglow> oh god I am so full of mexican
Sugarlips`|14:28:54,23/09/13|<Rabbits> So Kali <Rabbits> How old is too old? <Kalilung> like five to seven years, nowadays
Sugarlips`|14:28:54,23/09/13|<Rostum> Every time I always get excited and my hopes up, and they just face fuck me until I choke every time for the last decade.
Sugarlips`|14:28:54,23/09/13|<Sam> I'm not sure about beef <Sam> But I'll hide some sausage
Sugarlips`|14:28:54,23/09/13|<Jam> SHORTY HAS A THIRD NIPPLE :D <Shorty> apparently, I do xD <Jam> triple nipple cobb
Sugarlips`|14:28:54,23/09/13|<Sephex> Like the time I told an ex that her area smelled like a garbage barge <Sephex> no regrets
Sugarlips`|14:28:54,23/09/13|Iceglow> so we can all blow the fuck out of one another
Sugarlips`|14:28:54,23/09/13|<Thecloudyday89>  between marriage and children, sex is the bacon between two stale loaves of bread.
Sugarlips`|14:28:54,23/09/13|<kent> If I masturbate in the bathroom I usually forget to breathe and pass out! <Lockharted> this pleases me :)
Sugarlips`|14:28:54,23/09/13|<Sam> If Psychotic and I had a child, it would be the Antichrist
Sugarlips`|14:28:54,23/09/13|<Phil|Mobile> I'm going to grab you by the sideburns and ride you like a purebred Shetland. <Phil|Mobile> No homo
Sugarlips`|14:28:54,23/09/13|<Denmark> i like sausage in general
Sugarlips`|14:28:54,23/09/13|<VentusBrawler> @Roogle&Denmark: don't get all angry i'm asking about final fantasy on this chat. scroll up to the top of this page. look! it say eyes on final fantasy! this isn't a chat room. this is a room where people should solely talk about final fantasy. if you want to socialize, fine. just don't do it on a site where the topic is clearly final fantasy. go chat on icq or something.
Sugarlips`|14:28:54,23/09/13|<Rantzien> Cause I'm a spanker I'm a banker I'm a midnight wanker
Sugarlips`|14:28:54,23/09/13|<Loony_BoB> I mean, I don't know if these cows or chickens or pigs ever got laid... <Sheetlebug> ...the chickens got laid
Sugarlips`|14:28:54,23/09/13|<Sam> I'm not shy around pig penises
Sugarlips`|14:28:54,23/09/13|<Loony_BoB> I think my sister vacuumed it up.  I don't have Kalen's hair anymore. :(
Sugarlips`|14:28:54,23/09/13|<Rantzien> I'm saving myself for santa claus  <Loony_BoB> Santa already came ;)  <smittenkitten>  give it to her already  <Rantzien> he'll come again  <Phil|Mobile> xD  <Rantzien> with a full sack.
Sugarlips`|14:28:54,23/09/13|* Lockharted slaps Loony_BoB around a bit with a large fishbot   * Phil|Mobile pisses on the floor  <Loony_BoB> D=!  <Loony_BoB> As I picked my head up again and gathered my senses, all I could see was a man urinating in front of me.  <Lockharted> what a disgusting man  <Phil|Mobile> You love it!  <Lockharted> I do love it Phil <3  <Lockharted> anything you do moves me <3  <Loony_BoB>
Sugarlips`|14:28:54,23/09/13|<Loony_BoB> I'm sure there are many people here willing to urinate on the floor for a guy like you, pr00t.
Sugarlips`|14:28:54,23/09/13|<Lockharted> THIS IS CALLED PROSTITUTION
Sugarlips`|14:28:54,23/09/13|<Rantzien> No, I'm Korean, but I had a Hebrew private teacher, because my parents are fundamentalist Christians. <Roogle> Pontus Jebediah Kim
Sugarlips`|14:28:54,23/09/13|<Parker> do you see any cheddar in my floater?
Sugarlips`|14:28:54,23/09/13|<Jowy> and ask for the "good sausage"
Sugarlips`|14:28:54,23/09/13|<WildRaubtier> I'm going into surgery tomorrow to get my piece of eric removed from my heart
Sugarlips`|14:28:54,23/09/13|<Lockharted> get to the on call room  <Lockharted> and bang the shit out of that man  <Lockharted> ride his penis  <Lockharted> ride him like seabiscuit girl.
Sugarlips`|14:28:54,23/09/13|<@Rantzien> I don't want to hug Phil. <@Rantzien> I want to pound him like a slab of italian meat
Sugarlips`|14:28:54,23/09/13|<Loony_BoB> There is a 25th anniversary mug  <Loony_BoB> Do.  Want.  <Carly?Rae?Jepsen> You're a 25th anniversary mug.
Sugarlips`|14:28:54,23/09/13|<kotora> i'm down with girls pooping
Sugarlips`|14:28:54,23/09/13|<@Rantzien> She never thought of it, but in hindsight she may have climaxed
Sugarlips`|14:28:54,23/09/13|<shion> yo gabba gabba
Sugarlips`|14:28:54,23/09/13|<Fernando?Suaveboots> deepdicking <Nightsintodreams> It sounds really good ;x
Sugarlips`|14:28:54,23/09/13|<sam> pike is the harriet tubman of eoff
Sugarlips`|14:28:54,23/09/13|<+Futan> who's Kent? >_> <@Roogle> I'm so angry about his sideburns that I can't even think clearly <@Roogle> I have to go to the kitchen
Sugarlips`|14:28:54,23/09/13|<WildRaubtier> he's just a poor thespian <Rantzien> No I think he's straight
Sugarlips`|14:28:54,23/09/13|<@Rantzien> It was perfectly circular. <@Rantzien> Nice print... The hole in the middle juuuust the right size. <mike> wafer thin <mike> satisfyingly reflective <@Rantzien> I give it 9 floppies out of 10. <@Rantzien> Would have been a 10 if it slided a little smoother against my skin.
Sugarlips`|14:28:54,23/09/13|<@Pike> I'm not a geek or nerd, I've crossed over into the realm of being a female neckbeard
Sugarlips`|14:28:54,23/09/13|<@Jiro You are heathens! YOU ARE LIKE PG NOW, HOW DOES THAT MAKE YOU FEEL? <Locky> aroused >:3 <@Rantzien> ^
Sugarlips`|14:28:54,23/09/13|<@Rantzien> fucking netflix, go suck my flex nuts * Luckytart licks lips
Sugarlips`|14:28:54,23/09/13|<Pete_Cabbage> No quotes containing Pete_Cabbage
Sugarlips`|14:28:54,23/09/13|<Phil> i think my next poop flight to shitty poop land is crappily boarding like the poop ass crap butt that it is
Sugarlips`|14:28:54,23/09/13|<Parker> I am a man of my own butt
Sugarlips`|14:28:54,23/09/13|<Parker> i want a friction rash when i spank an ass
Sugarlips`|14:28:54,23/09/13|<@GoBo> Probably has something to do with BoB's crazy shenanigans
Sugarlips`|14:28:54,23/09/13|<Pete_Cabbage> Quote number 754: <Pete_Cabbage> No quotes containing Pete_Cabbage (added by Rantzien at 26/10/12 on 07:33:34)
Sugarlips`|14:28:54,23/09/13|<Nicolas> Also, looks like Eric went to his hole.
Sugarlips`|14:28:54,23/09/13|<shion> I should go to bed soon <shion> so Im rested for my morning rape
Sugarlips`|14:28:54,23/09/13|<@Rantzien> I just had a good hearty maori laugh
Sugarlips`|14:28:54,23/09/13|<Phil|Mobile> My butthole will be like "noooooo" and I'll be like "YOU, BOY WITH THE PIMPLES, MELT MORE CHEDDAR!!!!"
Sugarlips`|14:28:54,23/09/13|<Locky> No no, no raping. <Locky> It's better than that <@Shorty> speaking of, where's rob :(
Sugarlips`|14:28:54,23/09/13|<Crono> there's a ps3 emulator out for android and iphone?
Sugarlips`|14:28:54,23/09/13|<Lockharted> i like brown balls
Sugarlips`|14:28:54,23/09/13|<Futan> im one of those stereotypical tall guys who love small things. so ja. i like small cars. lol  <Cuchulainn> you must be particularly fond of your penis
Sugarlips`|14:28:54,23/09/13|<@Araciel> do you wanna drill a hole through things with your dick
Sugarlips`|14:28:54,23/09/13|<Vaern> Brb, I hear beeping.  That means it's time for me to be an alarm clock. * Vaern grabs the cat off of his bed and runs upstairs.
Sugarlips`|14:28:54,23/09/13|<mike> Sarah HandrÃ© Perssimon Waldock Truver Beverlegs Cobb
Sugarlips`|14:28:54,23/09/13|<Roogle> I'm afraid of land mollusks <Roogle> When I was younger I used to freeze up and stand on one leg like a flamingo <Roogle> if I saw one
Sugarlips`|14:28:54,23/09/13|<Parker> if grains of rice were words this plate would be  like <Parker> steve telling a story
Sugarlips`|14:28:54,23/09/13|<WildRaubtier> when I was about 6, I had one of those matchbox car carry cases, you know, the ones that were compartmentalised  <WildRaubtier> and I kept it next to the toilet and everytime i did a poo I'd fish part of it out, wrap it in toilet paper, and put the wrapped up poo in one of the compartments
Sugarlips`|14:28:54,23/09/13|<shion> I dont like jomo sex
Sugarlips`|14:28:54,23/09/13|<Agrias> Please excuse me while i take this time to release the demon and take a wicked yes
Sugarlips`|14:28:54,23/09/13|* Pike craves Rantz's balls <@Pike> seriously they look really good
Sugarlips`|14:28:54,23/09/13|<Proto> Sit back, relax, enjoy some nice wine * Proto snaps fingers <Proto> It is now raining outside. The raindrop drums down into a relaxing rhythmic beat as the fire cackles <Proto> What's this, It's now tickets to that Distant Worlds Symphony you always wanted to go. <Proto> I'm on a horse.
Sugarlips`|14:28:54,23/09/13|<maou> in a shocking move, Disney has moved forward with a bid to purchase itself.
Sugarlips`|14:28:54,23/09/13|<&Loony_BoB> I've got piles
Sugarlips`|14:28:54,23/09/13|<@Rantzien> I'll catch you like an STD
Sugarlips`|14:28:54,23/09/13|<Jiro> Princess Fufurella III, Duchess of Crabbattle, Lady of the Dots, and Patron to the Great Nek Minit Empire.
Sugarlips`|14:28:54,23/09/13|<Jiro> Dude what the hell did you give ben a big tool for he broke your roof <@Fufurella> Milkdud[e]* <Jiro> So totally grotion <@Fufurella> Totally <@Fufurella> It's all about grotion's milkdud <Jiro> it's like the spirts of terra are here helping me grotion my milkdud <@Fufurella> Chapter 1: how to grotion your milkdud
Sugarlips`|14:28:54,23/09/13|<Jiro> Milkdud von Lutefisk IV of Grotion, Duke of Plarps
Sugarlips`|14:28:54,23/09/13|<Lockharted> there's a guy with a mohawk on my couch <Lockharted> he's also left an offensive poo <Iceglow> lmao how the fuck does it always come back to poo with you girl
Sugarlips`|14:28:54,23/09/13|<@Fufu> Pontilus <@Fufu> Har du grotionerat din mjÃ¶lkdudd idag? * @Rantzien kappsÃ¤ckar
Sugarlips`|14:28:54,23/09/13|<Justy> i am growing more and more sexually frustrated living here <Justy> the want-to-touch population is omg <@Fufu> elaborate please <Justy> i am catching yellow fever <Justy> so many things i would do to these asian boys <Justy> I just <Justy> want to corrupt someone
Sugarlips`|14:28:54,23/09/13|<@Jiro> yeah everybody needs love <@Rantzien> not me <@Jiro> especially you <@Rantzien> I am a rock <@Rantzien> I am an iiiiiiisland <Justy> Im a volcano <@Rantzien> hot <@Rantzien> you can erupt on me any day <@Jiro> He's going to fill you with his red hot magma <@Rantzien> but only if you lava me :/
Sugarlips`|14:28:54,23/09/13|<@Rantzien> Right now I'm busy drinking hangover coffee and eating my big brown balls
Sugarlips`|14:28:54,23/09/13|<Rantzien> I hate it when I hang out with MC Hammer & he doesn't let me touch anything
Sugarlips`|14:28:54,23/09/13|<Proto> I had five guys a couple days ago. :>
Sugarlips`|14:28:54,23/09/13|<Locky> I need a good filling
Sugarlips`|14:28:54,23/09/13|<Locky> I GOT SO ANGRY <Locky> I FARTED <Locky> LMAO
Sugarlips`|14:28:54,23/09/13|<Jowy> maybe whipping out my balls in psychology class and showing them to john <Jowy> to prove there was no pubic lice <Jowy> was my undoing
Sugarlips`|14:28:54,23/09/13|<Jowy> that was in 2008 ish <Proto> This is a flashback <Futan> lol <pitye> haha <@Roogle> haha <Futan> haha <Jowy> haha <@Jiro> haha <Proto> haha <Jen> haha? <foa> what happened in 2008? <Futan> aaaaand its dead
Sugarlips`|14:28:54,23/09/13|<foa> When I was in my first year in college <foa> I went out into one of the common areas <foa> And this guy was out there <foa> and he had one. <foa> And he said "Hey.  Hey would you like to have an orgasm." <foa> And I said "Nope." and went back to my room.
Sugarlips`|14:28:54,23/09/13|<Phil> i will pry open her lips with salad tongs if need be
Sugarlips`|14:28:54,23/09/13|<Futan> man it was hard as balls keepin track o that poo. lol
Sugarlips`|14:28:54,23/09/13|<Ready-Salted> A midlander that likes to get raped by London rental prices... <Iceglow> lmao lived in london all my life even if my family are all from the Black Country <Ready-Salted> Racist bastard. IT''S CALLED AFRICA!!!!!
Sugarlips`|14:28:54,23/09/13|<Parker> im wet and need to make my hair more socially acceptable <Parker> im moist, dak
Sugarlips`|14:28:54,23/09/13|<balzac> my hands slide up from your chest to stroke the nape of your neck, they make their way towards your face, I gently cup your cheeks. I twist your head and snap your neck because I cannot stand yo
Sugarlips`|14:28:54,23/09/13|<Kalilung> raaantz <@Rantzien> Cirs :D <@Rantzien> er <@Rantzien> *Cris <@Rantzien> Too much blood in my caffeine stream <Phil?Kirkage> your eyes are getting ahead of your arse there, pontus.
Sugarlips`|14:28:54,23/09/13|* @Roogle just does everyone <Araciel> Do everyone <Araciel> Roogle style
Sugarlips`|14:28:54,23/09/13|<Parker> locky travels from room to room on her office chair <Parker> powered by her farts
Sugarlips`|14:28:54,23/09/13|<innes> >that awkward moment a girl asks you to dance but you remember you are white
Sugarlips`|14:28:54,23/09/13|<Rantzien> argh I don't think my skin fits me right today * Rantzien tears it off
Sugarlips`|14:28:54,23/09/13|<Cookie> innes - i suck ur dads dick
Sugarlips`|14:28:54,23/09/13|<Cookie> I love the feel of balls in my mouth. My nickname in the club is "Mr. Bucket".
Sugarlips`|14:28:54,23/09/13|<Shiny> well jiro, i shat myself
Sugarlips`|14:28:54,23/09/13|<Cookie> Are there any Irish women <Cuchulainn> There are indeed cookie but we dont let them out of the caves
Sugarlips`|14:28:54,23/09/13|<@Rantzien> He's so scrawny, all I see when I look at him is a wet spaghetti straw
Sugarlips`|14:28:54,23/09/13|<Shorty> philip loves my kitty though
Sugarlips`|14:28:54,23/09/13|<Cookie> I wish I were more like you Innes.
Sugarlips`|14:28:54,23/09/13|<denmark> cherry vanilla cock
Sugarlips`|14:28:54,23/09/13|<Kalilung> but i love cherry lime sprite, or cherry vanilla cocke
Sugarlips`|14:28:54,23/09/13|<Phil|Mobile> Aw, what'd you win babe? :3 <&Award_Guy> MLT Get Banned
Sugarlips`|14:28:54,23/09/13|<Parker> i live only for cock
Sugarlips`|14:28:54,23/09/13|<Cookie> ptolemy moore <Cookie> ptolemy moore <Cookie> like, did he have a car?
Sugarlips`|14:28:54,23/09/13|<Sephex> I've eaten 5 guys.
Sugarlips`|14:28:54,23/09/13|<shion> shut up, parker you fucking ned
Sugarlips`|14:28:54,23/09/13|<shion> i love lizards
Sugarlips`|14:28:54,23/09/13|<kotora> i'm enough of a dumbass
Sugarlips`|14:28:54,23/09/13|<Parker> the man in 'the twits' would get cereal stuck in his beard when he ate. I get poo on my bum because of my hair arse.
Sugarlips`|14:28:54,23/09/13|<Parker> Mmm I dropped the soap! Oh dear! I guess I better bend over and pick it up! :*
Sugarlips`|14:28:54,23/09/13|<shion> day 61: the cucumber is still stuck.
Sugarlips`|14:28:54,23/09/13|<The_Man> I need to learn to disguise how much I hate people <The_Man> then I'd make a good politician because I know my shit
Sugarlips`|14:28:54,23/09/13|<Cim> the name of the sword you are thinking of is "dick" <Cim> or "penis" in elven
